metric_id,vel_id,score_all_ssr_ajust,score_ajust_esatis_region,score_accueil_ssr_ajust,score_pec_ssr_ajust,score_lieu_ssr_ajust,score_repas_ssr_ajust,score_sortie_ssr_ajust,classement,evolution,participation,depot,annee,date_created,source
18844386-95ca-418c-b48a-9fa8ab60733d,98514474-8552-4e32-8a57-b393aec96f55,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
18844386-95ca-418c-b48a-9fa8ab60733d,f7d2982a-fa68-487e-81cb-8eb2eacc0c00,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
2c194654-42d8-4fe7-a70d-fdca2c04c137,c24db719-4f02-49cb-ab88-8b0bbdfc65fd,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
2c194654-42d8-4fe7-a70d-fdca2c04c137,aa182c66-a83a-4ff2-9f49-870b3ad3ca97,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
d9b78185-cb0c-4733-a477-de0e8cbe589b,163ae4b7-17ea-4469-a3d5-7c13b1cbe417,80.67,76.47,88.05,82.74,82.24,80.98,67.78,A,Stable,Obligatoire,Oui,2024,,IQSS
d9b78185-cb0c-4733-a477-de0e8cbe589b,73c972c0-4cd3-431a-9b6b-adf4e0b99b19,80.67,76.47,88.05,82.74,82.24,80.98,67.78,A,Stable,Obligatoire,Oui,2024,,IQSS
c37a31ec-6d00-432d-8c50-496e3ec98206,6bbe5192-9527-4774-9845-6e20cb314792,77.14,76.47,83.29,81.8,77.02,65.92,67.54,A,Stable,Obligatoire,Oui,2024,,IQSS
c37a31ec-6d00-432d-8c50-496e3ec98206,d843e29d-da25-45c5-a537-cc0dab9045d5,77.14,76.47,83.29,81.8,77.02,65.92,67.54,A,Stable,Obligatoire,Oui,2024,,IQSS
e23e1baa-5e24-4462-9f2b-9fb775c387e4,32a4627c-5de3-43de-9020-035632f2a27e,80.84,76.47,88.28,84.89,75.63,72.18,77.31,A,Non calculable,Facultatif,Oui,2024,,IQSS
e23e1baa-5e24-4462-9f2b-9fb775c387e4,64e557ea-b2db-4fac-ae10-a85207667086,80.84,76.47,88.28,84.89,75.63,72.18,77.31,A,Non calculable,Facultatif,Oui,2024,,IQSS
17a4da6f-8ded-4788-9354-5e8bfcd7f103,a06cf2f3-688e-4b82-bb16-2ae4b6d25865,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
17a4da6f-8ded-4788-9354-5e8bfcd7f103,00481f93-95e9-49c4-b0a9-309297768bc5,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
fae5a97f-bbe5-4d7c-a7bc-049b619ece54,e9b37745-c9eb-4d8f-81c4-b1f7f6526c1d,74.88,76.47,75.05,76.07,79.98,76.63,63.44,B,Amélioration,Facultatif,Oui,2024,,IQSS
fae5a97f-bbe5-4d7c-a7bc-049b619ece54,cb84649c-6bbf-4821-b6ef-395a0a629c1e,74.88,76.47,75.05,76.07,79.98,76.63,63.44,B,Amélioration,Facultatif,Oui,2024,,IQSS
02f352d7-6fa0-4b67-a3d3-beff86154e32,b38c78c7-2256-441d-8409-2a5651c121a5,83.42,76.47,88.0,85.27,84.11,83.03,75.0,A,Stable,Obligatoire,Oui,2024,,IQSS
02f352d7-6fa0-4b67-a3d3-beff86154e32,79e96a89-abd4-4053-8c72-4e7f1e7cf920,83.42,76.47,88.0,85.27,84.11,83.03,75.0,A,Stable,Obligatoire,Oui,2024,,IQSS
91cc75ae-b28f-4d4a-976b-499a550c0756,dbce04f8-ee7d-4e6f-beb1-32bcb7de9804,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
91cc75ae-b28f-4d4a-976b-499a550c0756,c21faeb1-e862-4422-820e-b18c56b910e6,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
db539a8c-4c66-43ec-b808-98427bfca7b6,c65a1725-5dec-4154-a5b6-c9f87e4314bf,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
db539a8c-4c66-43ec-b808-98427bfca7b6,a9863912-32ca-4204-8b7f-3b500b25efd6,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
c5a026f3-d52a-4296-bcce-6adad4f5b72d,d132351f-d90e-4aeb-a4e9-7e88672220b4,81.32,76.82,87.28,86.27,81.25,68.54,72.17,A,Non calculable,Facultatif,Oui,2024,,IQSS
c5a026f3-d52a-4296-bcce-6adad4f5b72d,6f025c9e-510f-4fbe-8c9f-77292ca4bc03,81.32,76.82,87.28,86.27,81.25,68.54,72.17,A,Non calculable,Facultatif,Oui,2024,,IQSS
eb6fa0f3-42d9-4193-be2c-55db34e5c059,d7d43e86-6671-40ef-b88a-e5b150b6b58b,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
eb6fa0f3-42d9-4193-be2c-55db34e5c059,08ad4578-e223-4475-8da9-b0cd0e1e759f,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
3ce3c8c0-7711-4cf1-81f5-c50fb5a5f967,6cf277a3-3d9f-4e7f-a3fb-0a83b52edd53,77.49,76.82,83.38,80.97,77.29,68.44,70.02,A,Amélioration,Obligatoire,Oui,2024,,IQSS
3ce3c8c0-7711-4cf1-81f5-c50fb5a5f967,ed1797ba-d644-43d9-85ef-4e106d754b09,77.49,76.82,83.38,80.97,77.29,68.44,70.02,A,Amélioration,Obligatoire,Oui,2024,,IQSS
9a049095-495e-424a-9280-c82e674921ab,3ae492ff-b147-45c3-b532-0401a0b5e523,84.51,76.82,90.91,86.36,85.78,81.87,75.4,A,Stable,Facultatif,Oui,2024,,IQSS
9a049095-495e-424a-9280-c82e674921ab,18ad870e-3920-4f52-b4fc-4a017307acfa,84.51,76.82,90.91,86.36,85.78,81.87,75.4,A,Stable,Facultatif,Oui,2024,,IQSS
d0568c78-f684-4bd5-a56e-3507c2039ba9,8526af36-6300-48c0-bb51-431dd178eac5,72.59,76.82,78.28,74.75,74.22,68.41,64.15,C,Amélioration,Facultatif,Oui,2024,,IQSS
d0568c78-f684-4bd5-a56e-3507c2039ba9,068f8a7c-ee92-4122-b029-8bc28b24902c,72.59,76.82,78.28,74.75,74.22,68.41,64.15,C,Amélioration,Facultatif,Oui,2024,,IQSS
d9584e54-9841-454b-a3b1-1fbf29a46e12,4915ab82-2f2c-4d37-8180-f991d98cb974,70.65,76.82,76.37,73.85,71.21,63.86,62.28,C,Non calculable,Obligatoire,Oui,2024,,IQSS
d9584e54-9841-454b-a3b1-1fbf29a46e12,f91f1971-5302-4a6a-b8c6-9276a36350d4,70.65,76.82,76.37,73.85,71.21,63.86,62.28,C,Non calculable,Obligatoire,Oui,2024,,IQSS
7bf1acc0-e85d-4c40-8629-9b356a1c3c27,9dc9a80f-ef5c-415b-88be-8105945de5cc,68.81,76.82,71.85,73.25,74.05,49.1,60.17,C,Stable,Obligatoire,Oui,2024,,IQSS
7bf1acc0-e85d-4c40-8629-9b356a1c3c27,d73e2306-ba7f-4af4-abb3-7d0533be77df,68.81,76.82,71.85,73.25,74.05,49.1,60.17,C,Stable,Obligatoire,Oui,2024,,IQSS
ab8363ca-241c-482f-88a1-f5b7a25b2457,e3805cb4-20b1-4bcb-89b6-e696b083db43,76.32,76.82,80.64,80.58,79.14,56.81,70.85,B,Stable,Obligatoire,Oui,2024,,IQSS
ab8363ca-241c-482f-88a1-f5b7a25b2457,26ce355e-49f0-467f-a3a4-dcc33552b8a7,76.32,76.82,80.64,80.58,79.14,56.81,70.85,B,Stable,Obligatoire,Oui,2024,,IQSS
30cae45b-54de-4931-8f3f-d888c47c971a,89f8621e-6326-4cbf-8343-5ec2f4a82089,75.04,76.82,80.41,78.83,81.51,57.27,64.35,B,Stable,Facultatif,Oui,2024,,IQSS
30cae45b-54de-4931-8f3f-d888c47c971a,53add3e4-e097-4da9-8699-c522e313bf0d,75.04,76.82,80.41,78.83,81.51,57.27,64.35,B,Stable,Facultatif,Oui,2024,,IQSS
b16fb7f3-3aeb-44fc-ad6e-2efc2f89e9ac,e45db1db-33ee-436e-a076-9045799fb79e,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
b16fb7f3-3aeb-44fc-ad6e-2efc2f89e9ac,b2f9ba99-3dc7-4a5f-8714-6b6801663ab5,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
02151029-9918-4658-a686-24fa98ff5871,d9435cc2-bca2-43ca-829b-b9a1eaa02d9f,72.89,76.82,80.39,76.04,78.38,52.59,66.63,C,Diminution,Facultatif,Oui,2024,,IQSS
02151029-9918-4658-a686-24fa98ff5871,5a638ad6-678b-48ef-9ef1-27900c97b7ff,72.89,76.82,80.39,76.04,78.38,52.59,66.63,C,Diminution,Facultatif,Oui,2024,,IQSS
8ccaa49d-25fa-4ee5-9f76-ec97d998e96e,ea3a0653-22dd-444d-aca7-f222b3d4699d,67.76,76.82,73.59,72.4,71.75,47.38,60.23,D,Stable,Facultatif,Oui,2024,,IQSS
