metric_id,vel_id,score_all_ssr_ajust,score_ajust_esatis_region,score_accueil_ssr_ajust,score_pec_ssr_ajust,score_lieu_ssr_ajust,score_repas_ssr_ajust,score_sortie_ssr_ajust,classement,annee,date_created,source
8c92b2e4-78d8-4000-82d4-0339389611b9,93456f94-287a-4e39-89f4-8c2c719e81e7,,,,,,,,DI,2024,,IQSS
62b0324c-43c4-44ed-aba9-36cf17d7acc9,7211fb93-40ef-4354-96cf-7c43d7695317,77.71,75.36,82.23,78.04,81.86,76.55,70.07,A,2024,,IQSS
62b0324c-43c4-44ed-aba9-36cf17d7acc9,dcee4ade-0827-4e44-8aae-6449a69ca7ba,77.71,75.36,82.23,78.04,81.86,76.55,70.07,A,2024,,IQSS
5870be52-dcef-4501-9089-fcca98cb56bb,de209aaf-3f07-4ef2-916d-debed2f001b3,,,,,,,,DI,2024,,IQSS
5870be52-dcef-4501-9089-fcca98cb56bb,02f8d97b-1f56-4aa9-b7f3-cfc538805a4d,,,,,,,,DI,2024,,IQSS
5941d2bf-601e-4e18-827b-763faa760bc9,b52cc644-e9bd-4eff-b483-08af28101da5,77.74,75.36,84.65,81.88,73.11,72.75,70.6,A,2024,,IQSS
5941d2bf-601e-4e18-827b-763faa760bc9,76c044e9-e1b2-4904-adc5-cb0512d3f8cd,77.74,75.36,84.65,81.88,73.11,72.75,70.6,A,2024,,IQSS
33c72b47-cf67-4df0-8638-1717ec62042f,9ccd3005-ab33-4a03-83aa-9509cb6ab09b,71.58,75.36,78.94,79.61,70.91,38.08,67.06,C,2024,,IQSS
33c72b47-cf67-4df0-8638-1717ec62042f,6522150a-e002-4915-bf69-c7b46e2b5a01,71.58,75.36,78.94,79.61,70.91,38.08,67.06,C,2024,,IQSS
1cd3d13e-6b28-41fe-aef6-d8fcb7866332,66eeadf7-1653-4bf9-bdc5-70de9414995c,75.55,75.36,83.13,80.05,70.61,62.83,72.55,B,2024,,IQSS
1cd3d13e-6b28-41fe-aef6-d8fcb7866332,c4d256a7-f06b-461a-a120-6c2a94a93e1a,75.55,75.36,83.13,80.05,70.61,62.83,72.55,B,2024,,IQSS
07e1fc02-0229-4a08-b9f7-94edac4d5a32,60bed614-cf30-4b04-85c2-b4fb5945f155,77.96,75.36,85.66,81.87,75.0,71.88,69.79,A,2024,,IQSS
07e1fc02-0229-4a08-b9f7-94edac4d5a32,5753e852-585b-4f60-a772-ad53269ade08,77.96,75.36,85.66,81.87,75.0,71.88,69.79,A,2024,,IQSS
78d21081-86bc-4868-8396-ef319b82b768,870eb09c-e92f-4679-899e-d53663878983,73.25,75.36,79.74,77.11,69.9,68.08,66.25,B,2024,,IQSS
78d21081-86bc-4868-8396-ef319b82b768,02b0d773-8e6c-437b-af29-19a1d7d70e5a,73.25,75.36,79.74,77.11,69.9,68.08,66.25,B,2024,,IQSS
e82d5bae-d785-4ab4-86fc-bf8d657cf630,5b7cb521-53c4-429f-90f8-bf0e7714b147,73.88,75.36,80.62,74.51,81.15,74.08,59.57,B,2024,,IQSS
e82d5bae-d785-4ab4-86fc-bf8d657cf630,f9a70b31-2dbe-4c95-bd92-8f78caeadb30,73.88,75.36,80.62,74.51,81.15,74.08,59.57,B,2024,,IQSS
4fb5ad4f-2e46-446e-bbe6-082ebd632ee3,fedbd15e-7cb0-486c-9d5d-306aa767fcc8,,,,,,,,DI,2024,,IQSS
4fb5ad4f-2e46-446e-bbe6-082ebd632ee3,58b34896-e26a-446b-bfc0-c958689bf66d,,,,,,,,DI,2024,,IQSS
ff442e72-708d-4961-9ce9-5f5323f3c4c7,09304cc0-59e8-434a-9e89-33b5aea164cd,71.01,75.36,77.43,73.82,77.5,71.57,50.82,C,2024,,IQSS
ff442e72-708d-4961-9ce9-5f5323f3c4c7,4bdbe98a-58c7-4e76-bfe1-af75e7ca8139,71.01,75.36,77.43,73.82,77.5,71.57,50.82,C,2024,,IQSS
fc9c2746-5dee-4038-b064-66ac41d84fa7,dfce4e6e-14d4-4507-9b6a-df68681577df,76.53,75.36,81.6,79.8,79.4,63.48,68.82,B,2024,,IQSS
fc9c2746-5dee-4038-b064-66ac41d84fa7,dcd2ced8-5028-47ac-b586-c3680ee74f7d,76.53,75.36,81.6,79.8,79.4,63.48,68.82,B,2024,,IQSS
f4ca2386-19ed-41ec-8604-57f1ac1b9a64,c2bf0146-e129-4032-a000-fd602ac8d858,64.41,75.36,74.25,69.44,59.76,52.5,57.91,D,2024,,IQSS
